asin,brand,title,amazon_subcategory,reasoning
B0DT7L2VMJ,get wavy organics,"wildcrafted irish sea moss gel  made with seamoss  made in usa  rich in vitamins & minerals  100% organic gold sea moss gel raw (1 pack, mixed berry)",superfoods,Title keyword filter: 'gel'
B0DWWVC9KK,colorfey,"triple protection crystal necklace for men, colorfey healing crystal tourmaline necklace real tiger eye obsidian hematite beads necklace for men, premium mens beaded jewelry gifts for stress relief",other alternative medicine,Title keyword filter: 'jewelry'
B0DXBRVQ7W,jovivi,"jovivi mens healing crystal black obsidian tigers eye 7 chakra gemstone beaded necklace natural stone beads necklace triple protection jewelry gifts for men stress relief,balance",other alternative medicine,Title keyword filter: 'jewelry'
B0DXKVXGQ7,infuseu,infuseu tree of life necklace amethyst crystal jewelry for women healing purple stone pendant positive energy protection mood rock holder cage spiritual gifts,other alternative medicine,Title keyword filter: 'jewelry'
B0DXVGHWXY,qinjiejie,qinjiejie smoky quartz crystals raw stones natural rough gemstones rocks bulk large 0.8-1.2 healing gems reiki fountain rock for tumbling cabbing polishing wire wrapping wicca decor 0.9 lbs,other alternative medicine,Title keyword filter: 'gemstone'
B0DY2286TF,bio vitalica,"sea moss gel by biovitalica - irish sea moss raw organic - premium quality - dr sebi, vegan superfood for cells - 100% natural seamoss gel (pack of 3, strawberry)",superfoods,Title keyword filter: 'gel'
B0DYK6CYLR,yxmn,yxmn new beginnings going away gifts for coworkers women friends natural crystals keychains for women best friend new job gift small inspirational gifts for birthday christmas,other alternative medicine,Title keyword filter: 'key chain'
B0DYVNLZTC,fun express,fun express 32.16 oz. juicy drop chewy fruit-flavored gummies & sour gel pen candy packs - 16 pc.,elderberry herbal supplements,Title keyword filter: 'gel'
B0DZ3XY653,pals,ginger enh-12x - highly concentrated gingeroids - supports healthy upper gut function & health menstruation - 60 gel pills 30 servings,motion sickness & nausea,Title keyword filter: 'gel'
B0DZCWBYFG,gangesindia,"gangesindiaâamethystcrystalhand-carvedguardianangelnaturalgemstonehealingfigurine,2inches",other alternative medicine,Title keyword filter: 'gemstone'
B0DZGR9R35,clearain,mini rose quartz crystals and healing stones natural gemstones bulk reiki chakra gem small polished worry stones for anxiety spiritual balance (oval),other alternative medicine,Title keyword filter: 'gemstone'
B0DZGV3QT1,runyangshi,runyangshi natural amethyst tree of life tea cup base crystal artificial tree with handcrafted gemstones home decor healing gifts for women men,other alternative medicine,Title keyword filter: 'gemstone'
B0F151ZGCL,indus farms superfoods,"indus farms superfoods dragon fruit powder, 1 lb  natural pitaya flavor & color for hydration, electrolytes, smoothies, desserts, baking, supplement blends, lip balms, scrubs  gmo-free, vegan",superfoods,Title keyword filter: 'scrub'
B0F18F6BCS,patikil,"patikil heart crystals stone, 20 pcs natural crystal polished love gemstone rose quartz pocket bulk set balancing meditation gifts for mother women birthday, watermelon",other alternative medicine,Title keyword filter: 'gemstone'
B0F18HGN89,patikil,"patikil heart crystals stone, 20 pcs natural crystal polished love gemstone rose quartz pocket bulk set balancing meditation gifts for mother women birthday, blue",other alternative medicine,Title keyword filter: 'gemstone'
B0F18M6SLJ,patikil,"patikil heart crystals stone, 20 pcs natural crystal polished love gemstone rose quartz pocket bulk set balancing meditation gifts for mother women birthday, white",other alternative medicine,Title keyword filter: 'gemstone'
B0F1MXMYZK,pesoenth,"pesoenth 7 chakra crystal tree gemstone tree of life gifts for women,chakra crystals and healing stones spiritual gifts for women mum birthday",other alternative medicine,Title keyword filter: 'gemstone'
B0F1MXSQWK,pesoenth,"pesoenth amethyst crystal tree gemstone tree of life gifts for women,purple crystals and healing stones spiritual gifts for women mum birthday",other alternative medicine,Title keyword filter: 'gemstone'
B0F1MXYDXK,pesoenth,"pesoenth aquamarine crystal tree gemstone tree of life gifts for women,blue crystals and healing stones spiritual gifts for women mum birthday",other alternative medicine,Title keyword filter: 'gemstone'
B0F1NFMCV1,trueseamoss,trueseamoss proline gel mango natural immune support pack 1,other dietary supplements,Title keyword filter: 'gel'
B0F24YRCC7,reliefband,"reliefband sport anti-nausea wristband  waterproof, fda cleared, nausea & vomiting relief for motion sickness (car, air, sea) & morning sickness, drug & side effect free (black, 1 extra gel tube)",motion sickness & nausea,Title keyword filter: 'gel'
B0F24Z9CWW,reliefband,"reliefband new sport anti-nausea wristband  waterproof  nausea & vomiting relief for motion sickness, & morning sickness  drug & side effect free, long lasting, fast-acting (grey, 1 extra gel tube)",motion sickness & nausea,Title keyword filter: 'gel'
B0F25SV7NB,handmade,"natural yooperlite stone bracelet, uv glowing rock, uv beads(flashing flame under ultraviolet), handmade stretch elastic bracelet, crystal jewelry for yoga, meditation and stress relief (8mm)",other alternative medicine,Title keyword filter: 'jewelry'
B0F26YQJ9W,locool,locool electric nasal irrigation system nasal cleaner for sinus relief nasal rinse machine purple - purple,sinus medicine,Title keyword filter: 'machine'
B0F28ZJDJZ,maibaota,maibaota 60 mm green turquoise crystals large heart stone healing crystals natural crystal heart reiki gemstone polished heart shaped rocks meditation mothers day crystal gifts for mom her,other alternative medicine,Title keyword filter: 'gemstone'
B0F2917R5W,maibaota,maibaota 60 mm topaz crystals large heart stone healing crystals heart reiki crystal gemstone polished heart shaped rocks meditation mothers day crystal gifts for mom her,other alternative medicine,Title keyword filter: 'gemstone'
B0F2FQ8HLB,qinjiejie,qinjiejie 2pcs amethyst crystal healing stones 1.6-2 natural tumbled crystals polished rocks large amethyst stone irregular gemstones for decorative meditation crystal gifts for women,other alternative medicine,Title keyword filter: 'gemstone'
B0F2FX4PWM,qinjiejie,qinjiejie 2pcs black obsidian healing crystal stones 1.6-2 worry stones large obsidian stone tumbled polished rocks black gemstones for energy witchcraft meditation crystal gifts for women,other alternative medicine,Title keyword filter: 'gemstone'
B0F2JHJWPM,kind patches,kind patches melatonin dream patches - sleep patches for adults - sleep aid with ashwagandha to improve rest quality - overnight release - 30 count,medicinal sleep aids,Title keyword filter: 'patch'
B0F2JJBF5S,kind patches,melatonin dream patches extra strong - sleep patches for adults - sleep aid with ashwagandha and magnesium for quality rest - 14 count,medicinal sleep aids,Title keyword filter: 'patch'
B0F2JJPYLB,ctw home collection,"neletao protein powder and supplement funnel keychain - protein powder container with durable key-chain portable to-go container for the gym, workouts, fitness, and travel (2pack, no)",protein powder blends,Title keyword filter: 'key chain'
B0F2JN6FBQ,mucinex,"mucinex rapid clear maximum strength cold & cough medicine, fever, pain, headache, & cough relief with acetaminophen & dextromethorphan, rapid release liquid gels for adults, 16 count",non-aspirin pain relievers,Title keyword filter: 'gel'
B0F2KG28P5,smartypants,"smartypants multivitamin for men & women - improved formula: multivitamin gummies with omega 3 (dha/epa), vitamin d3, c, vitamin b12, b6, a, k & zinc, biotin, gluten free, 90 count (30 day supply)",multivitamins,Title keyword filter: 'pants'
B0F2KJQSPD,smartypants,"smartypants multivitamin gummy for women 50 and over - improved formula: omega 3 (dha/epa), methylfolate, coq10, vitamin d3, c, vitamin b12, b6, a, k, biotin, gluten free, 90 count (30 day supply)",multivitamins,Title keyword filter: 'pants'
B0F2TQQPHZ,kind patches,"kind patches glp-1 patches with l glutamine, berberine, chromium, pomegranate and cinnamon - 30 count",weight loss supplements,Title keyword filter: 'patch'
B0F2V5253X,kind patches,kind patches love patches - natural libido booster for women and men - ashwagandha and red ginseng to enhance intimate wellness and energy - 30 count,ashwagandha herbal supplements,Title keyword filter: 'patch'
B0F2VMWVWX,kind patches,kind patches valerian root dream patches - sleep patches for adults - natural sleep aid with ashwagandha and magnesium - overnight release - 30 count,medicinal sleep aids,Title keyword filter: 'patch'
B0F2VNQ2HH,kind patches,kind patches sun patches - color changing sunscreen reminder stickers - uv-reactive sunblock patch for effective sunscreen application - 36 count,other herbal supplements,Title keyword filter: 'patch'
B0F2VPS1DK,kind patches,kind patches valerian root dream patches extra strong - sleep patches for adults - sleep aid with ashwagandha and magnesium glycinate -14 count,medicinal sleep aids,Title keyword filter: 'patch'
B0F342H86D,get wavy organics,"wildcrafted irish sea moss gel  made with seamoss  made in usa  rich in vitamins & minerals  100% organic gold sea moss gel raw (1 pack, plain)",other herbal supplements,Title keyword filter: 'gel'
B0F34H6Q7S,ecco pure,"sleepaidpatchesforadultswithmelatonin&magnesiumâ30packâwakeuprefreshed&rejuvenatedâeasy-to-use,non-habitformingsleepsupport",medicinal sleep aids,Title keyword filter: 'patch'
B0F3BM4JMW,sugarfina,"sugarfina cheers champagne bubbles small candy cube gummies, 2.8oz, 4 count",elderberry herbal supplements,Title keyword filter: 'candy'
B0F3D46VVH,lamuseland,"lamuseland essential oil nasal inhaler, pure and natural peppermint double holes aromatherapy nasal stick set for tension stress relief and focus boost (5, litchi)",sinus medicine,Title keyword filter: 'essential oil'
B0F3H4NYJC,ahandmaker,"ahandmaker crystal ball holder, moon shaped small crystal display stand alloy sphere display holder for gemstones geodes mineral agate home office decor, 3.54x1.97x4.92 inch, golden",other alternative medicine,Title keyword filter: 'gemstone'
B0F3HGR6GV,ahandmaker,"ahandmaker crystal ball holder, moon shaped small crystal display stand alloy sphere display holder for gemstones geodes mineral agate home office decor, 3.54x1.97x4.92 inch, black",other alternative medicine,Title keyword filter: 'gemstone'
B0F3HX6B98,ahandmaker,"ahandmaker crystal ball holder, moon shaped small crystal display stand alloy sphere display holder for gemstones geodes mineral agate home office decor, 3.54x1.97x4.92 inch, silver",other alternative medicine,Title keyword filter: 'gemstone'
B0F3VRR1NF,lamuseland,"lamuseland essential oil nasal inhaler, 1pack pure and natural peppermint double holes aromatherapy nasal stick set for tension stress relief and focus boost (15)",sinus medicine,Title keyword filter: 'essential oil'
B0F3XJHCJT,jic gem,jic gem large fluorite crystal tower natural healing crystal point large 6 sides tower yellow fluorite stone energy gemstone home decor 1.1-1.7 lbs,other alternative medicine,Title keyword filter: 'gemstone'
B0F43S87P6,jaguar gems,"naturalgalaxyjaspercabochonsâ3pcsmulti-shapelot(15â30mm)polishedloosehealingcrystalsforjewelrymaking,wirewrapping&crafts",other alternative medicine,Title keyword filter: 'jewelry'
B0F4BJHHNF,biomiracle,"biomiracle be femme refreshing feminine wipe cucumber and aloe, menopause balance, specially formulated, safe for all skin types, ph balanced, flushable, 90 wipes, 3 pack",menopause care products,Title keyword filter: 'wipe'
B0F4NL3MGQ,animal,"animal cuts thermogenic fat burner powder - weight loss for women and men for metabolism, energy, focus, and nootropic brain support with ketones appetite suppressant - new rainbow candy flavor",fat burners,Title keyword filter: 'candy'
B0F5HG4TXJ,hiawbon,"hiawbon miniature rock set, mini pet rocks, tiny gems with display container, healing gemstones bulk for diy miniature fairy garden decor",other alternative medicine,Title keyword filter: 'gemstone'
B0F5HYW3GF,smartypants,"smartypants fiber supplement & multivitamin for men & women - improved formula: prebiotic fiber gummies with omega 3 (dha/epa), vitamin d3, c, vitamin b12, b6, a, k & zinc, 90 count (30 day supply)",multivitamins,Title keyword filter: 'pants'
B0F5P49BJD,pachamama essentials,"pachamama essentials tumbled shungite stones - polished gemstone - water purification, reiki, massage, energy crystal healing (1/2 lb)",other alternative medicine,Title keyword filter: 'gemstone'
B0F5WTLXT7,karelian heritage,karelian heritage shungite stone tiger eye black hematite 8 mm macrame beaded triple protection bracelet for men women  crystal healing jewelry gift for luck and wealth bo132,other alternative medicine,Title keyword filter: 'jewelry'
B0F5YKWW3N,yum-v's,"yumv's de-stress gummies with gaba, l-theanine and lemon balm - mixed berry flavor - calming gummies for adults and teens - gluten free non-gmo vegetarian mood support relax (42 count - 2pk)",other herbal supplements,Title keyword filter: 'balm'
B0F62Y4PDN,aceyo,"aceyo sea moss gel - wildcrafted irish sea moss with black seed oil & ginger,rich in minerals & vitamins,immunity & health support,non-gmo, vegan,mango pineapple flavor,10 oz (pack of 1)",other herbal supplements,Title keyword filter: 'gel'
B0F66QLGK9,met-rx,met rx - rtd 51 - (15oz each) - creamy vanilla (pack of 4),ready to drink protein,Title keyword filter: 'cream'
B0F67369LL,leadtek,amorturmericreliefpatchâbtnpnnanotechnologyfordeepmuscle&jointcomfortnaturalplantextracts(6patches),turmeric & curcumin supplements,Title keyword filter: 'patch'
B0F67PJZ15,clevr,"clevr blends organic matcha green tea latte, instant ceremonial grade matcha, superfood powder blend with oat milk, lions mane, reishi mushroom, coconut cream, ashwagandha, serve hot or iced, 30 servings",mushrooms herbal supplements,Title keyword filter: 'cream'
B0F7J3S8RV,vitaboost,"vitaboost systemic formulas collagen ecm #613 and keychain pill holder, bio basic collagen powder promotes hair, nail, skin, collagen supplement (pack of 3)",vitamin d supplements,Title keyword filter: 'key chain'
B0F7N6RZ48,vigority,"vigority estrogen cream for women, natural bioidentical menopause relief & hormonal moisturizer for face, neck & body - menopause support for hot flashes, menstrual cycle - 2 pack",menopause care products,Title keyword filter: 'cream'
B0F7RWLY85,vigority,vigority progesterone cream for women menopause: natural hormonal balancing bioidentical hormone relief for hot flashes night sweats - menstrual balance cream -2 pack,menopause care products,Title keyword filter: 'cream'
B0F7ZVFNRK,boomboom,"boomboom nasal stick (4 pack)  vapor flow technology  better breathing  cool refreshing sensation  premium essential oils + menthol inhaler (mint, wintermint, tropical, spearmint)",sinus medicine,Title keyword filter: 'essential oil'
B0F83VS3CY,fillove,"fillovemotionsicknesspatchesâseasicknesspatchesforcruise,car,airplane,nondrowsy,fastacting&longlast72h(14count)",motion sickness & nausea,Title keyword filter: 'patch'
B0F84HMTNW,laird superfood,"laird superfood organic calm and relax mushroom blend with reishi, lemon balm, and ashwagandha, 3.17 oz. bag, pack of 1",mushrooms herbal supplements,Title keyword filter: 'balm'
B0F855121N,energetix,"energetix phytogel, homeopathic pain relief gel",single homeopathic remedies,Title keyword filter: 'gel'
B0F8BH57M7,cyouh,"nasal irrigation system electric neti pot sinus rinse machine, 300 ml cordless sinus rinse nose wash bottle nasal care for adults kids with 3 tips(see blue)",sinus medicine,Title keyword filter: 'machine'
B0F8C725KF,klub bulk,ginger hard candy-1.5 lbs individually wrapped hard ginger candy for nausea relief and digestion aid(24 oz),motion sickness & nausea,Title keyword filter: 'candy'
B0F8GQR3BH,hmone,"3 packs organic hemp gummies extra strengthen high potency with pure hemp oil extract vegan edible bear candy - non-gmo, vegan, low sugar",cbd & hemp extract products,Title keyword filter: 'candy'
B0F8K4TCB8,spiceology,"spiceologyânutritionalyeastflakesâvegancheesesubstitute&seasoningâglutenfree,plant-basedproteinforpopcorn,pasta,sauces&moreâpantrystaplenoochâ10.9oz",other dietary supplements,Title keyword filter: 'popcorn'
B0F8KSRSLJ,smartypants,"smartypants organic toddler multivitamin gummies: omega 3 (ala), vitamin d3, c, vitamin b12, b6, a, k & zinc for immune support, biotin, vegetarian, two fruit flavors, 60 count (30 day supply)",multivitamins,Title keyword filter: 'pants'
B0F8TMXTRK,sumdip,"sea moss gel 16 in 1 - irish sea mossgel 18.5oz with wildcrafted seamossgel, black seed oil, burdock root, ashwagandha, bladderwrack - rich in vitamins & minerals - non-gmo & natural",other herbal supplements,Title keyword filter: 'gel'
B0F8WMSJC8,clevr,"clevr blends organic honey vanilla matcha superlatte, instant ceremonial grade matcha, superfood powder blend with oat milk, lions mane, reishi mushroom, coconut cream, ashwagandha, serve hot or iced, 12oz",mushrooms herbal supplements,Title keyword filter: 'cream'
B0F8X8L5WF,clevr,"clevr blends pistachio matcha superlatte, organic ceremonial grade matcha, instant superfood powder blend with lions mane, reishi mushroom, coconut cream, oat milk, ashwagandha, serve hot or iced, 12oz",mushrooms herbal supplements,Title keyword filter: 'cream'
B0F8XC296G,clevr,"clevr blends organic honey lavender matcha superlatte, instant ceremonial grade matcha, superfood powder blend with oat milk, lions mane, reishi mushroom, coconut cream, ashwagandha, serve hot or iced, 12oz",mushrooms herbal supplements,Title keyword filter: 'cream'
B0F922Q755,vitaboost,"vitaboost systemic formulas collagen ecm #613 (pack of 2) and keychain pill holder, bio basic collagen powder promotes hair, nail, skin, collagen supplement and pill holder",vitamin d supplements,Title keyword filter: 'key chain'
B0F9FBGM8M,locool,"electric nasal irrigation system, sinus rinse machine with 50 salt packets, self-cleaning and automatic waste collection, nasal suction device for quickly relieving nasal discomfort",sinus medicine,Title keyword filter: 'machine'
B0F9NT1L7T,mefele cln,mefeleclnjockitchcreamall-naturalsoothingcare&fastreliefofjockitch,omega oils,Title keyword filter: 'cream'
B0F9QYJG1B,bio vitalica,"bio vitalica sea moss gummies elderberry biovitalica - vitamin c d + zinc - irish seamoss vegan gummy with sea moss gel & powder for immunity, detox - for adults and kids (5packs)",elderberry herbal supplements,Title keyword filter: 'gel'
B0F9XGRJ7G,patchmd,glp-1 support bundle patches - 30 days supply,weight loss supplements,Title keyword filter: 'patch'
B0FBHK39LD,totclear,totclear party relief patches: party recovery patches - use before drinking wake up to a better morning (42 patches),blended supplements & vitamins,Title keyword filter: 'patch'
B0FBYQ54QG,ideal performance,"primera capsules, primera advanced female support capsules - extra strength, all natural for health & wellness supplement pills, premera advanced women rejuvenation strengthen support reviews (3 pack)",multivitamins,Title keyword filter: 'primer'
B0FBZ38ZQB,ideal performance,"primera capsules, primera advanced female support capsules - extra strength, all natural for health & wellness supplement pills, premera advanced women rejuvenation strengthen support reviews (1 pack)",multivitamins,Title keyword filter: 'primer'
B0FBZ44H2B,ideal performance,"primera capsules, primera advanced female support capsules - extra strength, all natural for health & wellness supplement pills, premera advanced women rejuvenation strengthen support reviews (2 pack)",multivitamins,Title keyword filter: 'primer'
B0FC1K3M4Q,patch aid,electrolyte hydration patch by patchaid 30-day supply,electrolyte drink mixes,Title keyword filter: 'patch'
B0FCMV87WP,kind patches,"valerian root dream patches - sleep patches for adults - natural sleep aid with ashwagandha and magnesium - 3 pack, 90 patches",medicinal sleep aids,Title keyword filter: 'patch'
B0FCMY9XV2,kind patches,"kind patches glp-1 patches with l glutamine, berberine, chromium, pomegranate and cinnamon - 3 pack, 90 patches",other herbal supplements,Title keyword filter: 'patch'
B0FCQN4S1D,instant hydration,"instant hydration electrolytes powder packets - cotton candy drink mix - zero sugar - keto, vegan, gluten-free, non-gmo - boost recovery, brain health, muscle & tissue support- 30 sticks",electrolyte drink mixes,Title keyword filter: 'candy'
